"rho","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.0018511,-1.4836e-14,0,1,15.543,49.5,15.543,0
1,0.0018611,-1.4917e-14,0,1,15.642,49.5,15.642,0
1,0.0018711,-1.4998e-14,0,1,15.741,49.5,15.741,0
1,0.001881,-1.5079e-14,0,1,15.84,49.5,15.84,0
1,0.001891,-1.516e-14,0,1,15.939,49.5,15.939,0
1,0.0019009,-1.5229e-14,0,1,16.038,49.5,16.038,0
1,0.0019106,-1.5277e-14,0,1,16.137,49.5,16.137,0
1,0.0019202,-1.5325e-14,0,1,16.236,49.5,16.236,0
1,0.0019299,-1.5373e-14,0,1,16.335,49.5,16.335,0
1,0.0019396,-1.5421e-14,0,1,16.434,49.5,16.434,0
1,0.0019493,-1.5469e-14,0,1,16.533,49.5,16.533,0
1,0.001959,-1.5517e-14,0,1,16.632,49.5,16.632,0
1,0.0019686,-1.5565e-14,0,1,16.731,49.5,16.731,0
1,0.0019783,-1.5613e-14,0,1,16.83,49.5,16.83,0
1,0.001988,-1.5661e-14,0,1,16.929,49.5,16.929,0
1,0.0019976,-1.5731e-14,0,1,17.028,49.5,17.028,0
1,0.002007,-1.5856e-14,0,1,17.127,49.5,17.127,0
1,0.0020164,-1.5981e-14,0,1,17.226,49.5,17.226,0
1,0.0020258,-1.6106e-14,0,1,17.325,49.5,17.325,0
1,0.0020351,-1.6231e-14,0,1,17.424,49.5,17.424,0
1,0.0020445,-1.6356e-14,0,1,17.523,49.5,17.523,0
1,0.0020539,-1.6481e-14,0,1,17.622,49.5,17.622,0
1,0.0020633,-1.6606e-14,0,1,17.721,49.5,17.721,0
1,0.0020727,-1.6731e-14,0,1,17.82,49.5,17.82,0
1,0.0020821,-1.6856e-14,0,1,17.919,49.5,17.919,0
1,0.0020914,-1.6969e-14,0,1,18.018,49.5,18.018,0
1,0.0021005,-1.7027e-14,0,1,18.117,49.5,18.117,0
1,0.0021096,-1.7085e-14,0,1,18.216,49.5,18.216,0
1,0.0021187,-1.7142e-14,0,1,18.315,49.5,18.315,0
1,0.0021278,-1.72e-14,0,1,18.414,49.5,18.414,0
1,0.0021369,-1.7258e-14,0,1,18.513,49.5,18.513,0
1,0.002146,-1.7315e-14,0,1,18.612,49.5,18.612,0
1,0.0021551,-1.7373e-14,0,1,18.711,49.5,18.711,0
1,0.0021641,-1.7431e-14,0,1,18.81,49.5,18.81,0
1,0.0021732,-1.7488e-14,0,1,18.909,49.5,18.909,0
1,0.0021823,-1.7548e-14,0,1,19.008,49.5,19.008,0
1,0.0021911,-1.7626e-14,0,1,19.107,49.5,19.107,0
1,0.0021999,-1.7704e-14,0,1,19.206,49.5,19.206,0
1,0.0022087,-1.7783e-14,0,1,19.305,49.5,19.305,0
1,0.0022175,-1.7861e-14,0,1,19.404,49.5,19.404,0
1,0.0022263,-1.7939e-14,0,1,19.503,49.5,19.503,0
1,0.0022351,-1.8018e-14,0,1,19.602,49.5,19.602,0
1,0.0022439,-1.8096e-14,0,1,19.701,49.5,19.701,0
1,0.0022527,-1.8174e-14,0,1,19.8,49.5,19.8,0
1,0.0022615,-1.8253e-14,0,1,19.899,49.5,19.899,0
1,0.0022703,-1.8331e-14,0,1,19.998,49.5,19.998,0
1,0.0022788,-1.8369e-14,0,1,20.097,49.5,20.097,0
1,0.0022873,-1.8406e-14,0,1,20.196,49.5,20.196,0
1,0.0022958,-1.8443e-14,0,1,20.295,49.5,20.295,0
1,0.0023043,-1.848e-14,0,1,20.394,49.5,20.394,0
1,0.0023128,-1.8517e-14,0,1,20.493,49.5,20.493,0
1,0.0023213,-1.8554e-14,0,1,20.592,49.5,20.592,0
1,0.0023298,-1.8591e-14,0,1,20.691,49.5,20.691,0
1,0.0023383,-1.8629e-14,0,1,20.79,49.5,20.79,0
1,0.0023468,-1.8666e-14,0,1,20.889,49.5,20.889,0
1,0.0023553,-1.8703e-14,0,1,20.988,49.5,20.988,0
1,0.0023636,-1.8775e-14,0,1,21.087,49.5,21.087,0
1,0.0023718,-1.8852e-14,0,1,21.186,49.5,21.186,0
1,0.00238,-1.8929e-14,0,1,21.285,49.5,21.285,0
1,0.0023882,-1.9006e-14,0,1,21.384,49.5,21.384,0
1,0.0023964,-1.9083e-14,0,1,21.483,49.5,21.483,0
1,0.0024046,-1.916e-14,0,1,21.582,49.5,21.582,0
1,0.0024128,-1.9237e-14,0,1,21.681,49.5,21.681,0
1,0.002421,-1.9313e-14,0,1,21.78,49.5,21.78,0
1,0.0024292,-1.939e-14,0,1,21.879,49.5,21.879,0
1,0.0024374,-1.9467e-14,0,1,21.978,49.5,21.978,0
1,0.0024454,-1.9473e-14,0,1,22.077,49.5,22.077,0
1,0.0024533,-1.9458e-14,0,1,22.176,49.5,22.176,0
1,0.0024613,-1.9442e-14,0,1,22.275,49.5,22.275,0
1,0.0024692,-1.9427e-14,0,1,22.374,49.5,22.374,0
1,0.0024771,-1.9412e-14,0,1,22.473,49.5,22.473,0
1,0.002485,-1.9397e-14,0,1,22.572,49.5,22.572,0
1,0.0024929,-1.9382e-14,0,1,22.671,49.5,22.671,0
1,0.0025008,-1.9367e-14,0,1,22.77,49.5,22.77,0
1,0.0025087,-1.9352e-14,0,1,22.869,49.5,22.869,0
1,0.0025167,-1.9337e-14,0,1,22.968,49.5,22.968,0
1,0.0025244,-1.9396e-14,0,1,23.067,49.5,23.067,0
1,0.002532,-1.9491e-14,0,1,23.166,49.5,23.166,0
1,0.0025396,-1.9586e-14,0,1,23.265,49.5,23.265,0
1,0.0025472,-1.968e-14,0,1,23.364,49.5,23.364,0
1,0.0025548,-1.9775e-14,0,1,23.463,49.5,23.463,0
1,0.0025625,-1.987e-14,0,1,23.562,49.5,23.562,0
1,0.0025701,-1.9965e-14,0,1,23.661,49.5,23.661,0
1,0.0025777,-2.006e-14,0,1,23.76,49.5,23.76,0
1,0.0025853,-2.0154e-14,0,1,23.859,49.5,23.859,0
1,0.002593,-2.0249e-14,0,1,23.958,49.5,23.958,0
1,0.0026004,-2.0311e-14,0,1,24.057,49.5,24.057,0
1,0.0026077,-2.035e-14,0,1,24.156,49.5,24.156,0
1,0.0026151,-2.0388e-14,0,1,24.255,49.5,24.255,0
1,0.0026224,-2.0427e-14,0,1,24.354,49.5,24.354,0
1,0.0026297,-2.0465e-14,0,1,24.453,49.5,24.453,0
1,0.002637,-2.0504e-14,0,1,24.552,49.5,24.552,0
1,0.0026444,-2.0542e-14,0,1,24.651,49.5,24.651,0
1,0.0026517,-2.0581e-14,0,1,24.75,49.5,24.75,0
1,0.002659,-2.0619e-14,0,1,24.849,49.5,24.849,0
1,0.0026663,-2.0658e-14,0,1,24.948,49.5,24.948,0
1,0.0026735,-2.0722e-14,0,1,25.047,49.5,25.047,0
1,0.0026806,-2.0814e-14,0,1,25.146,49.5,25.146,0
1,0.0026876,-2.0906e-14,0,1,25.245,49.5,25.245,0
1,0.0026946,-2.0998e-14,0,1,25.344,49.5,25.344,0
1,0.0027017,-2.109e-14,0,1,25.443,49.5,25.443,0
1,0.0027087,-2.1182e-14,0,1,25.542,49.5,25.542,0
1,0.0027157,-2.1274e-14,0,1,25.641,49.5,25.641,0
